,DATE,AVG,MAX,MIN,PctIllum
0,2018-01-01,14.689655172413794,23.0,7.0,0.99
1,2018-01-02,14.517241379310345,24.0,8.0,1.0
2,2018-01-03,15.392857142857142,32.0,2.0,0.98
3,2018-01-04,23.86842105263158,29.0,18.0,0.93
4,2018-01-05,14.285714285714286,19.0,10.0,0.86
5,2018-01-06,12.714285714285714,18.0,8.0,0.78
6,2018-01-07,12.206896551724139,24.0,0.0,0.68
7,2018-01-08,24.575757575757574,33.0,18.0,0.58
8,2018-01-09,34.411764705882355,49.0,23.0,0.47
9,2018-01-10,31.928571428571427,43.0,22.0,0.37
10,2018-01-11,46.470588235294116,61.0,38.0,0.28
11,2018-01-12,63.276595744680854,70.0,58.0,0.2
12,2018-01-13,46.32727272727273,65.0,24.0,0.13
13,2018-01-14,19.678571428571427,26.0,14.0,0.07
14,2018-01-15,19.6,30.0,11.0,0.03
15,2018-01-16,28.903225806451612,39.0,21.0,0.01
16,2018-01-17,26.675675675675677,35.0,21.0,0.0
17,2018-01-18,27.06896551724138,46.0,16.0,0.01
18,2018-01-19,34.07142857142857,53.0,19.0,0.04
19,2018-01-20,37.214285714285715,61.0,21.0,0.09
20,2018-01-21,43.48275862068966,62.0,29.0,0.15
21,2018-01-22,55.107142857142854,65.0,44.0,0.23
22,2018-01-23,56.35,62.0,48.0,0.32
23,2018-01-24,41.857142857142854,48.0,36.0,0.42
24,2018-01-25,34.25,41.0,30.0,0.53
25,2018-01-26,31.178571428571427,47.0,20.0,0.64
26,2018-01-27,43.57142857142857,60.0,26.0,0.75
27,2018-01-28,52.027027027027025,57.0,48.0,0.84
28,2018-01-29,44.13333333333333,48.0,41.0,0.92
29,2018-01-30,32.57142857142857,43.0,25.0,0.97
30,2018-01-31,25.571428571428573,38.0,18.0,1.0
31,2018-02-01,40.964285714285715,51.0,35.0,0.99
32,2018-02-02,34.1875,51.0,20.0,0.96
33,2018-02-03,20.821428571428573,34.0,10.0,0.9
34,2018-02-04,32.575,34.0,30.0,0.83
35,2018-02-05,31.63888888888889,35.0,26.0,0.74
36,2018-02-06,29.607142857142858,38.0,22.0,0.64
37,2018-02-07,31.76086956521739,39.0,26.0,0.55
38,2018-02-08,31.035714285714285,39.0,23.0,0.45
39,2018-02-09,29.90625,45.0,20.0,0.35
40,2018-02-10,41.40909090909091,45.0,35.0,0.27
41,2018-02-11,49.72222222222222,66.0,42.0,0.19
42,2018-02-12,50.7,64.0,39.0,0.12
43,2018-02-13,35.142857142857146,41.0,25.0,0.07
44,2018-02-14,37.892857142857146,52.0,31.0,0.03
45,2018-02-15,56.285714285714285,75.0,45.0,0.0
46,2018-02-16,60.09090909090909,69.0,47.0,0.0
47,2018-02-17,35.85,47.0,30.0,0.02
48,2018-02-18,35.675,50.0,31.0,0.05
49,2018-02-19,40.810810810810814,46.0,38.0,0.11
